V1,V2,V3,V4,V5,V6
-0.01181394,-0.009309237,-0.005094121,-0.001448514,-0.004381232,-0.001366091
0.012572494,0.010703585,0.00976224,-0.000727086,0.012245016,-0.000761555
0.009098425,0.007339795,0.006947889,0.000564181,0.008076296,0.000845738
0.000288891,0.000590179,0.00251911,0.026154694,-0.001307427,0.022345224
0.01195547,0.01426145,0.018716953,0,0.008572244,0.000844593
0.011647983,0.008410943,0.007916892,-0.001097301,0.008146624,-0.001605391
0.013533688,0.01269038,0.013145857,0.001639289,0.00943736,0.000703161
-0.014841616,-0.016411592,-0.010902358,-0.002947412,-0.007230021,-0.002950816
0.005753095,0.001034398,0.000858363,-0.003683216,-0.007694953,-0.003546295
0.009313052,0.014969064,0.005696561,-0.009712233,0.006650906,-0.00859554
-0.007344094,-0.005541291,-0.006929976,0.012364887,-0.007400062,0.013717887
0.027779152,0.030033981,0.030969526,-0.002240703,0.011714652,-0.001460279
0.013728033,0.016049484,0.01681793,0.012134387,0.012240698,0.011430214
0.002954848,0.002007938,0.001306801,0.00550881,0.003056419,0.005632613
-0.038593151,-0.039832845,-0.032802684,-0.004709643,-0.031242881,-0.003955185
-0.005703526,-0.008327594,-0.007301649,0.000986937,-0.001598142,0.001060233
-0.019844193,-0.02751873,-0.019437947,-0.005022263,-0.016372737,-0.005573707
0.021924207,0.019622175,0.018699121,0.001313825,0.012109874,0.000721564
0.006233519,0.003832554,0.00478235,-0.000572986,0.003514619,-0.000796889
-0.014821028,-0.016148145,-0.013146941,-0.001745438,-0.009006565,-0.001433477
0.005662637,0.00389655,0.003851166,0.001356386,0.002199932,0.000967094
0.009873933,0.007499647,0.011530179,0.000977089,0.002715079,0.000815197
-0.002960874,9.84E-05,-0.002715369,0.011061693,-0.00442696,0.010394208
0.005136941,0.006842589,0.020290735,-0.002226938,0.001956685,-0.000590842
-0.013252561,-0.014586251,-0.011816709,-5.71E-05,-0.010512893,-0.000152564
0.011133855,0.008185936,0.009026919,0.001164427,0.007330308,0.0009996
0.021938741,0.019812774,0.017733219,0.003090174,0.01642866,0.002956007
